,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
800,37.005,620,5970,7.4,Ghostbusters,1984-06-08,en,"['Comedy', 'Fantasy']",61,Ghostbusters,1984,PG,87332,105,"Action, Comedy, Fantasy",71.0,7.8,351097,238.63
801,41.475,43074,4662,5.4,Ghostbusters,2016-07-14,en,"['Action', 'Comedy', 'Fantasy']",61,Ghostbusters,1984,PG,87332,105,"Action, Comedy, Fantasy",71.0,7.8,351097,238.63
802,12.051,1245,737,7.4,The Remains of the Day,1993-11-05,en,"['Drama', 'Romance']",430,The Remains of the Day,1993,PG,107943,134,"Drama, Romance",84.0,7.8,64834,22.95
803,19.626,388,3797,7.4,Inside Man,2006-03-17,en,"['Crime', 'Drama', 'Thriller']",202,Inside Man,2006,R,454848,129,"Crime, Drama, Mystery",76.0,7.6,334028,88.51
804,14.181,154,1253,7.4,Star Trek II: The Wrath of Khan,1982-06-04,en,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",213,Star Trek II: The Wrath of Khan,1982,PG,84726,113,"Action, Adventure, Sci-Fi",67.0,7.7,111577,78.91
805,23.111,2034,3744,7.4,Training Day,2001-10-05,en,"['Action', 'Crime', 'Drama', 'Thriller']",219,Training Day,2001,R,139654,122,"Crime, Drama, Thriller",69.0,7.7,384886,76.63
806,14.574,1542,1877,7.4,Office Space,1999-02-19,en,['Comedy'],509,Office Space,1999,R,151804,89,Comedy,68.0,7.7,239150,10.82
807,10.775,21450,280,7.4,Naked,1993-09-14,en,"['Comedy', 'Drama']",680,Naked,1993,Not Rated,107653,132,"Comedy, Drama",84.0,7.8,33777,1.77
808,18.788,433251,957,5.8,Naked,2017-08-11,en,['Comedy'],680,Naked,1993,Not Rated,107653,132,"Comedy, Drama",84.0,7.8,33777,1.77
809,32.221,9509,3272,7.4,Man on Fire,2004-04-23,en,"['Action', 'Drama', 'Thriller']",216,Man on Fire,2004,R,328107,146,"Action, Crime, Drama",47.0,7.7,326030,77.91
810,15.898,639,2626,7.4,When Harry Met Sally...,1989-01-12,en,"['Comedy', 'Romance', 'Drama']",198,When Harry Met Sally...,1989,R,98635,95,"Comedy, Drama, Romance",76.0,7.6,192610,92.82
811,11.17,14433,288,7.4,Zulu,1964-01-22,en,"['Action', 'Drama', 'History', 'War']",930,Zulu,1964,Not Rated,58777,138,"Drama, History, War",77.0,7.7,35457,--
